cols,importance,model_name,model_target
order_weekend,0.3445999606859003,tree,y_weekday
order_weekday,0.294747682597391,tree,y_weekday
order_takeout,0.03164192086223333,tree,y_weekday
order,0.030751997130671074,tree,y_weekday
order_time_18,0.030222836498485776,tree,y_weekday
order_time_17,0.02771862975421303,tree,y_weekday
order_time_20,0.025184095660165537,tree,y_weekday
order_delivery,0.023655357347459844,tree,y_weekday
order_time_16,0.02303355439714383,tree,y_weekday
order_time_12,0.02118429584801032,tree,y_weekday
delta_avg,0.020440004899454065,tree,y_weekday
order_time_19,0.01955109004709334,tree,y_weekday
order_time_15,0.01914230411891621,tree,y_weekday
order_time_14,0.018180765326215285,tree,y_weekday
order_cancel,0.016560367134724294,tree,y_weekday
order_fin,0.01648986890238216,tree,y_weekday
order_time_21,0.015298855694494665,tree,y_weekday
order_time_11,0.01124110565136586,tree,y_weekday
order_time_13,0.010355307443680035,tree,y_weekday
order_weekend,0.23666038253014046,RandomForest,y_weekday
order_weekday,0.1399074124588915,RandomForest,y_weekday
order,0.06635596230166954,RandomForest,y_weekday
order_fin,0.05617769933826618,RandomForest,y_weekday
order_delivery,0.046685441744339265,RandomForest,y_weekday
order_takeout,0.04088469830163522,RandomForest,y_weekday
order_cancel,0.039335486329824434,RandomForest,y_weekday
delta_avg,0.03560402038101268,RandomForest,y_weekday
order_time_16,0.03391694668551686,RandomForest,y_weekday
order_time_15,0.03355176370915011,RandomForest,y_weekday
order_time_21,0.03180362868800048,RandomForest,y_weekday
order_time_18,0.03169642622154421,RandomForest,y_weekday
order_time_12,0.031031969172078133,RandomForest,y_weekday
order_time_19,0.03032591470951432,RandomForest,y_weekday
order_time_17,0.02964483972260426,RandomForest,y_weekday
order_time_13,0.029595398323696204,RandomForest,y_weekday
order_time_14,0.029376588460186287,RandomForest,y_weekday
order_time_11,0.029217506162307134,RandomForest,y_weekday
order_time_20,0.028227914759622674,RandomForest,y_weekday
order_weekday,0.44353306318425384,GradientBoosting,y_weekday
order_weekend,0.3856814798785057,GradientBoosting,y_weekday
order,0.03514565220200964,GradientBoosting,y_weekday
delta_avg,0.02146497618414431,GradientBoosting,y_weekday
order_time_15,0.01641651021092103,GradientBoosting,y_weekday
order_fin,0.014823862516251616,GradientBoosting,y_weekday
order_time_21,0.01274436948005998,GradientBoosting,y_weekday
order_time_16,0.009829359098979234,GradientBoosting,y_weekday
order_time_13,0.009083880857578636,GradientBoosting,y_weekday
order_time_18,0.008738945897199401,GradientBoosting,y_weekday
order_time_12,0.007854895709663978,GradientBoosting,y_weekday
order_cancel,0.007227318072483805,GradientBoosting,y_weekday
order_time_20,0.005549304260904846,GradientBoosting,y_weekday
order_takeout,0.005330900656672121,GradientBoosting,y_weekday
order_time_19,0.005231255483276739,GradientBoosting,y_weekday
