DataCategory,acc,f1,recall,precision,tp,fn,fp,tn,model_name,model_target
train,1.0,1.0,1.0,1.0,865,0,0,909,tree,y_weekday
test,0.7700394218134035,1.0,0.7881136950904393,0.7663316582914573,305,82,93,281,tree,y_weekday
train,1.0,1.0,1.0,1.0,865,0,0,909,RandomForest,y_weekday
test,0.7963206307490145,1.0,0.8087855297157622,0.7944162436548223,313,74,81,293,RandomForest,y_weekday
train,0.859075535512965,0.8551564310544612,0.8531791907514451,0.8571428571428571,738,127,123,786,GradientBoosting,y_weekday
test,0.8028909329829172,0.8551564310544612,0.834625322997416,0.7897310513447433,323,64,86,288,GradientBoosting,y_weekday
train,1.0,1.0,1.0,1.0,946,0,0,828,tree,y_weekend
test,0.735873850197109,1.0,0.7442455242966752,0.7423469387755102,291,100,101,269,tree,y_weekend
train,1.0,1.0,1.0,1.0,946,0,0,828,RandomForest,y_weekend
test,0.8370565045992115,1.0,0.7698209718670077,0.8985074626865671,301,90,34,336,RandomForest,y_weekend
train,0.8737316798196166,0.8761061946902655,0.8372093023255814,0.9187935034802784,792,154,70,758,GradientBoosting,y_weekend
test,0.8501971090670171,0.8761061946902655,0.7774936061381074,0.918429003021148,304,87,27,343,GradientBoosting,y_weekend
